ts_code,name,market,list_date,m_fee,c_fee,issue_amount,benchmark,invest_type,industry,cleaned_benchmark_name,benchmark_code
501312.SH,海外科技LOF,E,2023-04-25,1.0,0.2,2.9063,经人民币汇率调整的纳斯达克100指数收益率*80%+恒生科技指数收益率*10%+中证综合债指数收益率*10%,股票型,科技,经人民币汇率调整的纳斯达克100指数,
501225.SH,全球芯片LOF,E,2023-04-14,1.2,0.2,3.5141,费城半导体指数收益率(PHLX Semiconductor Sector Index)(使用估值汇率调整)*75%+中证芯片产业指数收益率*15%+人民币活期存款利率(税后)*10%,股票型,科技,费城半导体指数(PHLX Semiconductor Sector Index)(使用估值汇率调整),
159672.SZ,主要消费ETF,E,2023-04-03,0.5,0.1,3.7989,中证主要消费指数收益率,被动指数型,消费,中证主要消费指数,
508028.SH,中信建投国家电投新能源REIT,E,2023-03-29,0.2,0.01,8.0,,,科技,,
561920.SH,疫苗龙头ETF,E,2023-03-29,0.5,0.1,3.0869,中证疫苗与生物技术指数收益率,被动指数型,医疗,中证疫苗与生物技术指数,
159689.SZ,消费ETF南方,E,2023-03-13,0.5,0.1,3.8215,中证主要消费指数收益率,被动指数型,消费,中证主要消费指数,
159657.SZ,生物疫苗ETF,E,2023-03-13,0.5,0.1,8.0251,国证疫苗与生物科技指数收益率,被动指数型,医疗,国证疫苗与生物科技指数,
562860.SH,生物疫苗ETF,E,2023-02-24,0.5,0.1,18.2489,中证疫苗与生物技术指数收益率,被动指数型,医疗,中证疫苗与生物技术指数,
513560.SH,香港科技ETF,E,2023-02-13,0.5,0.1,4.4939,中证港股通科技指数收益率,被动指数型,科技,中证港股通科技指数,931573.CSI
159688.SZ,恒生互联网ETF,E,2023-02-15,0.5,0.15,6.8378,恒生互联网科技业指数收益率(经汇率调整),被动指数型,科技,恒生互联网科技业指数(经汇率调整),h30535.CSI
159665.SZ,半导体龙头ETF,E,2023-01-06,0.45,0.07,10.7758,国证半导体芯片指数收益率,被动指数型,科技,国证半导体芯片指数,
561710.SH,疫苗生物ETF,E,2022-11-25,0.5,0.1,4.016,中证疫苗与生物技术指数收益率,被动指数型,医疗,中证疫苗与生物技术指数,
513310.SH,中韩半导体ETF,E,2022-12-22,0.8,0.15,3.5443,中证韩交所中韩半导体指数收益率,被动指数型,科技,中证韩交所中韩半导体指数,931790.CSI
560680.SH,消费ETF龙头,E,2022-10-31,0.5,0.1,2.9323,中证主要消费指数,被动指数型,消费,中证主要消费指数,
588290.SH,科创芯片ETF基金,E,2022-10-26,0.15,0.05,3.614,上证科创板芯片指数收益率,被动指数型,科技,上证科创板芯片指数,000685.SH
588200.SH,科创芯片ETF,E,2022-10-26,0.5,0.1,3.6689,上证科创板芯片指数收益率,被动指数型,科技,上证科创板芯片指数,000685.SH
159645.SZ,疫苗ETF富国,E,2022-09-26,0.5,0.1,10.5954,国证疫苗与生物科技指数,被动指数型,医疗,国证疫苗与生物科技指数,
513260.SH,恒生科技ETF基金,E,2022-09-13,0.15,0.05,2.4324,经人民币汇率调整的恒生科技指数收益率,被动指数型,科技,经人民币汇率调整的恒生科技指数,
159637.SZ,新能源车龙头ETF,E,2022-09-01,0.5,0.05,6.9677,中证新能源汽车指数收益率,被动指数型,科技,中证新能源汽车指数,000941.CSI
513290.SH,纳指生物科技ETF,E,2022-08-29,0.5,0.15,2.8207,经人民币汇率调整的纳斯达克生物科技指数收益率,被动指数型,医疗,经人民币汇率调整的纳斯达克生物科技指数,
159646.SZ,疫苗ETF基金,E,2022-08-22,0.5,0.1,4.9071,国证疫苗与生物科技指数收益率,被动指数型,医疗,国证疫苗与生物科技指数,
159643.SZ,疫苗ETF,E,2022-08-22,0.5,0.1,3.9539,国证疫苗与生物科技指数收益率,被动指数型,医疗,国证疫苗与生物科技指数,
513280.SH,恒生生物科技ETF,E,2022-07-18,0.15,0.05,3.0311,经人民币汇率调整的恒生生物科技指数收益率,被动指数型,医疗,经人民币汇率调整的恒生生物科技指数,
513120.SH,港股创新药ETF,E,2022-07-12,0.5,0.1,3.0014,中证香港创新药指数收益率(人民币计价),被动指数型,医疗,中证香港创新药指数(人民币计价),
159636.SZ,港股通科技30ETF,E,2022-07-20,0.45,0.07,9.9725,国证港股通科技指数收益率(经汇率调整后),被动指数型,科技,国证港股通科技指数(经汇率调整后),931573.CSI
159615.SZ,恒生生物科技ETF,E,2022-06-28,0.5,0.15,11.0905,恒生生物科技指数收益率(经估值汇率调整),被动指数型,医疗,恒生生物科技指数(经估值汇率调整),
560990.SH,中金科技先锋ETF,E,2022-06-27,0.5,0.05,3.8819,中证科技先锋指数收益率,被动指数型,科技,中证科技先锋指数,931186.CSI
560900.SH,创新药企ETF,E,2022-06-02,0.3,0.1,2.0897,中证创新药产业指数收益率,被动指数型,医疗,中证创新药产业指数,
588260.SH,科创信息ETF,E,2022-05-27,0.15,0.05,5.9875,上证科创板新一代信息技术指数收益率,被动指数型,科技,上证科创板新一代信息技术指数,
588100.SH,科创信息技术ETF,E,2022-05-27,0.5,0.1,13.9725,上证科创板新一代信息技术指数收益率,被动指数型,科技,上证科创板新一代信息技术指数,
517990.SH,医药ETF沪港深,E,2022-05-19,0.5,0.1,2.2599,中证沪港深500医药卫生指数(人民币)收益率,被动指数型,医疗,中证沪港深500医药卫生指数(人民币),h30455.CSI
159798.SZ,消费ETF易方达,E,2022-05-11,0.5,0.1,3.2725,中证消费50指数收益率,被动指数型,消费,中证消费50指数,000126.SH
159797.SZ,医疗器械ETF基金,E,2022-05-16,0.15,0.05,2.8499,中证全指医疗器械指数收益率,被动指数型,医疗,中证全指医疗器械指数,000985.CSI
513380.SH,恒生科技ETF龙头,E,2022-05-12,0.5,0.1,2.1889,人民币计价的恒生科技指数收益率,被动指数型,科技,人民币计价的恒生科技指数,
517760.SH,消费TOPETF,E,2022-04-19,0.5,0.1,2.5105,中证沪港深消费龙头指数收益率,被动指数型,消费,中证沪港深消费龙头指数,931068.CSI
513070.SH,港股消费ETF易方达,E,2022-03-24,0.15,0.05,2.0076,中证港股通消费主题指数收益率(使用估值汇率折算),被动指数型,消费,中证港股通消费主题指数(使用估值汇率折算),931454.CSI
159776.SZ,港股通医药ETF,E,2022-03-25,0.5,0.1,2.3497,中证港股通医药卫生综合指数收益率(经估值汇率调整),被动指数型,医疗,中证港股通医药卫生综合指数(经估值汇率调整),h50069.CSI
513960.SH,港股通消费ETF,E,2022-03-18,0.5,0.1,2.1493,中证港股通消费主题指数(人民币)收益率,被动指数型,消费,中证港股通消费主题指数(人民币),931454.CSI
560600.SH,医药创新ETF,E,2022-03-15,0.5,0.1,2.3271,中证医药及医疗器械创新指数收益率,被动指数型,医疗,中证医药及医疗器械创新指数,h30217.CSI
159769.SZ,消费电子龙头ETF,E,2022-03-03,0.5,0.1,2.7445,中证消费电子主题指数收益率,被动指数型,消费,中证消费电子主题指数,931104.CSI
159750.SZ,港股科技50ETF,E,2022-02-14,0.5,0.15,2.2362,中证香港科技指数收益率(经汇率调整后),被动指数型,科技,中证香港科技指数(经汇率调整后),
513150.SH,港股通科技ETF华泰柏瑞,E,2022-02-11,0.5,0.1,2.5456,中证港股通科技指数收益率(使用估值汇率折算),被动指数型,科技,中证港股通科技指数(使用估值汇率折算),931573.CSI
517550.SH,消费ETF沪港深,E,2022-02-08,0.5,0.1,2.2142,中证沪港深消费龙头指数(人民币)收益率,被动指数型,消费,中证沪港深消费龙头指数(人民币),931068.CSI
561100.SH,消费电子ETF富国,E,2022-02-08,0.5,0.1,3.0675,中证消费电子主题指数收益率,被动指数型,消费,中证消费电子主题指数,931104.CSI
513020.SH,港股科技ETF,E,2022-02-08,0.5,0.1,2.0215,中证港股通科技指数(经估值汇率调整)收益率,被动指数型,科技,中证港股通科技指数(经估值汇率调整),931573.CSI
513200.SH,港股通医药ETF,E,2022-02-11,0.15,0.05,2.3428,中证港股通医药卫生综合指数收益率(使用估值汇率折算),被动指数型,医疗,中证港股通医药卫生综合指数(使用估值汇率折算),h50069.CSI
513160.SH,港股科技30ETF,E,2022-02-09,0.5,0.1,2.5819,恒生港股通中国科技指数收益率(经估值汇率调整),被动指数型,科技,恒生港股通中国科技指数(经估值汇率调整),h50069.CSI
513230.SH,港股消费ETF,E,2022-01-24,0.5,0.1,2.6442,经估值汇率调整后的中证港股通消费主题指数收益率,被动指数型,消费,经估值汇率调整后的中证港股通消费主题指数,931454.CSI
562950.SH,消费电子ETF易方达,E,2022-01-20,0.15,0.05,2.5526,中证消费电子主题指数收益率,被动指数型,消费,中证消费电子主题指数,931104.CSI
159775.SZ,新能源车电池ETF,E,2022-01-24,0.5,0.1,2.1265,国证新能源车电池指数收益率,被动指数型,科技,国证新能源车电池指数,000941.CSI
517270.SH,沪港深科技TOPETF,E,2022-01-12,0.5,0.1,2.4059,中证沪港深科技龙头指数收益率,被动指数型,科技,中证沪港深科技龙头指数,931087.CSI
159728.SZ,在线消费ETF,E,2022-01-11,0.5,0.1,2.2641,国证在线消费指数收益率,被动指数型,消费,国证在线消费指数,399361.SZ
513890.SH,恒生科技HKETF,E,2022-01-21,0.5,0.15,2.5213,恒生科技指数(HSTECH)收益率(经估值汇率调整),被动指数型,科技,恒生科技指数(HSTECH)(经估值汇率调整),
159718.SZ,港股医药ETF,E,2021-12-28,0.5,0.1,2.6983,中证港股通医药卫生综合指数收益率(经汇率调整),被动指数型,医疗,中证港股通医药卫生综合指数(经汇率调整),h50069.CSI
516350.SH,芯片ETF易方达,E,2021-12-23,0.15,0.05,3.1142,中证芯片产业指数收益率,被动指数型,科技,中证芯片产业指数,h30007.CSI
159751.SZ,港股科技ETF,E,2021-12-28,0.45,0.1,2.3563,中证港股通科技指数收益率,被动指数型,科技,中证港股通科技指数,931573.CSI
159760.SZ,医疗健康ETF泰康,E,2021-12-20,0.5,0.1,3.3236,国证公共卫生与医疗健康指数收益率,被动指数型,医疗,国证公共卫生与医疗健康指数,931513.CSI
159789.SZ,饮料ETF,E,2021-12-20,0.5,0.1,2.5888,中证饮料主题指数收益率,被动指数型,消费,中证饮料主题指数,
159748.SZ,创新药ETF富国,E,2021-12-03,0.5,0.1,3.0169,中证沪港深创新药产业指数收益率,被动指数型,医疗,中证沪港深创新药产业指数,
517960.SH,科技AHETF,E,2021-12-23,0.3,0.1,2.0218,中证沪港深科技100指数收益率,被动指数型,科技,中证沪港深科技100指数,931187.CSI
159779.SZ,消费电子50ETF,E,2021-11-26,0.5,0.1,3.5487,中证消费电子主题指数收益率,被动指数型,消费,中证消费电子主题指数,931104.CSI
517880.SH,品牌消费ETF,E,2021-12-01,0.3,0.1,2.8934,中证沪港深品牌消费50指数收益率,被动指数型,消费,中证沪港深品牌消费50指数,000126.SH
517280.SH,网购ETF,E,2021-12-03,0.5,0.1,2.3055,中证沪港深线上消费主题指数收益率,被动指数型,消费,中证沪港深线上消费主题指数,931480.CSI
561310.SH,消电ETF,E,2021-11-25,0.5,0.1,3.5792,中证消费电子主题指数收益率,被动指数型,消费,中证消费电子主题指数,931104.CSI
159793.SZ,线上消费ETF基金,E,2021-11-24,0.5,0.1,2.5976,中证沪港深线上消费主题指数收益率,被动指数型,消费,中证沪港深线上消费主题指数,931480.CSI
159862.SZ,食品ETF,E,2021-11-08,0.5,0.1,3.24,中证细分食品饮料产业主题指数收益率,被动指数型,消费,中证细分食品饮料产业主题指数,000807.CSI
159877.SZ,医疗ETF南方,E,2021-11-03,0.5,0.1,4.5179,中证全指医疗保健设备与服务指数收益率,被动指数型,医疗,中证全指医疗保健设备与服务指数,000985.CSI
159853.SZ,科技100ETF,E,2021-10-15,0.15,0.05,3.0225,中证科技100指数收益率,被动指数型,科技,中证科技100指数,931186.CSI
159892.SZ,恒生医药ETF,E,2021-10-19,0.5,0.15,2.3927,恒生生物科技指数收益率(使用估值汇率折算),被动指数型,医疗,恒生生物科技指数(使用估值汇率折算),
516130.SH,消费龙头ETF,E,2021-10-13,0.5,0.1,3.8989,中证消费龙头指数收益率,被动指数型,消费,中证消费龙头指数,931068.CSI
159777.SZ,创科技ETF,E,2021-10-18,0.5,0.1,2.4928,创业板科技指数收益率,被动指数型,科技,创业板科技指数,
159723.SZ,科技龙头ETF,E,2021-10-15,0.15,0.05,2.4103,中证沪港深科技龙头指数收益率,被动指数型,科技,中证沪港深科技龙头指数,931087.CSI
516860.SH,金融科技ETF,E,2021-10-11,0.5,0.1,2.0152,中证金融科技主题指数收益率,被动指数型,科技,中证金融科技主题指数,930986.CSI
159773.SZ,创业板科技ETF,E,2021-10-08,0.5,0.1,2.923,创业板科技指数收益率,被动指数型,科技,创业板科技指数,
159733.SZ,消费电子50ETF,E,2021-09-29,0.5,0.1,4.4716,中证消费电子主题指数收益率,被动指数型,消费,中证消费电子主题指数,931104.CSI
159736.SZ,食品饮料ETF天弘,E,2021-09-27,0.5,0.1,3.2689,中证食品饮料指数收益率,被动指数型,消费,中证食品饮料指数,000807.CSI
517110.SH,创新药沪深港ETF,E,2021-09-30,0.5,0.1,2.461,中证沪港深创新药产业指数收益率,被动指数型,医疗,中证沪港深创新药产业指数,
501209.SH,富久食品饮料LOF,E,2021-12-02,1.2,0.2,13.3274,中证食品饮料指数收益率*80%+中证港股通综合指数(人民币)收益率*10%+商业银行人民币活期存款利率(税后)*10%,混合型,消费,中证食品饮料指数,000807.CSI
561600.SH,消费电子ETF,E,2021-09-09,0.5,0.1,2.5627,中证消费电子主题指数收益率,被动指数型,消费,中证消费电子主题指数,931104.CSI
516640.SH,芯片龙头ETF,E,2021-08-27,0.5,0.1,6.1368,中证芯片产业指数收益率,被动指数型,科技,中证芯片产业指数,h30007.CSI
159732.SZ,消费电子ETF,E,2021-08-23,0.5,0.1,4.9645,国证消费电子主题指数收益率,被动指数型,消费,国证消费电子主题指数,931494.CSI
516790.SH,医疗ETF华泰柏瑞,E,2021-08-23,0.5,0.1,3.2828,中证全指医疗保健设备与服务指数收益率,被动指数型,医疗,中证全指医疗保健设备与服务指数,000985.CSI
159875.SZ,新能源ETF,E,2021-08-17,0.5,0.1,4.6516,中证新能源指数收益率,被动指数型,科技,中证新能源指数,000941.CSI
159767.SZ,电池龙头ETF,E,2021-08-23,0.5,0.1,3.5287,国证新能源车电池指数收益率,被动指数型,科技,国证新能源车电池指数,000941.CSI
516930.SH,生物科技ETF基金,E,2021-08-18,0.5,0.1,2.8464,中证生物科技主题指数收益率,被动指数型,医疗,中证生物科技主题指数,
159840.SZ,锂电池ETF,E,2021-08-20,0.45,0.07,3.8457,国证新能源车电池指数收益率,被动指数型,科技,国证新能源车电池指数,000941.CSI
513590.SH,香港消费ETF,E,2021-08-19,0.5,0.1,2.5392,中证港股通消费主题指数收益率,被动指数型,消费,中证港股通消费主题指数,931454.CSI
516920.SH,芯片50ETF,E,2021-08-16,0.15,0.05,4.5846,中证芯片产业指数收益率,被动指数型,科技,中证芯片产业指数,h30007.CSI
517380.SH,创新药ETF天弘,E,2021-08-09,0.5,0.1,3.5233,恒生沪深港创新药精选50指数收益率,被动指数型,医疗,恒生沪深港创新药精选50指数,
